,Date,Status,X,Y,Z,Source,Time,SessionTime
11897,2022-03-20 14:52:40.920,OnTrack,-353,1877,-158,pos,0 days 00:51:40.903000,0 days 00:51:40.903000
11898,2022-03-20 14:52:41.120,OnTrack,-353,1877,-158,pos,0 days 00:51:41.103000,0 days 00:51:41.103000
11899,2022-03-20 14:52:41.380,OnTrack,-353,1877,-158,pos,0 days 00:51:41.363000,0 days 00:51:41.363000
11900,2022-03-20 14:52:41.621,OnTrack,-353,1877,-158,pos,0 days 00:51:41.604000,0 days 00:51:41.604000
11901,2022-03-20 14:52:42.001,OnTrack,-353,1877,-158,pos,0 days 00:51:41.984000,0 days 00:51:41.984000
11902,2022-03-20 14:52:42.161,OnTrack,-353,1877,-158,pos,0 days 00:51:42.144000,0 days 00:51:42.144000
11903,2022-03-20 14:52:42.501,OnTrack,-353,1877,-158,pos,0 days 00:51:42.484000,0 days 00:51:42.484000
11904,2022-03-20 14:52:42.901,OnTrack,-353,1877,-158,pos,0 days 00:51:42.884000,0 days 00:51:42.884000
11905,2022-03-20 14:52:43.161,OnTrack,-353,1877,-158,pos,0 days 00:51:43.144000,0 days 00:51:43.144000
11906,2022-03-20 14:52:43.501,OnTrack,-353,1877,-158,pos,0 days 00:51:43.484000,0 days 00:51:43.484000
11907,2022-03-20 14:52:43.821,OnTrack,-353,1877,-158,pos,0 days 00:51:43.804000,0 days 00:51:43.804000
11908,2022-03-20 14:52:44.061,OnTrack,-353,1877,-158,pos,0 days 00:51:44.044000,0 days 00:51:44.044000
11909,2022-03-20 14:52:44.341,OnTrack,-353,1877,-158,pos,0 days 00:51:44.324000,0 days 00:51:44.324000
11910,2022-03-20 14:52:44.441,OnTrack,-353,1877,-158,pos,0 days 00:51:44.424000,0 days 00:51:44.424000
11911,2022-03-20 14:52:44.681,OnTrack,-353,1877,-158,pos,0 days 00:51:44.664000,0 days 00:51:44.664000
11912,2022-03-20 14:52:44.881,OnTrack,-353,1877,-158,pos,0 days 00:51:44.864000,0 days 00:51:44.864000
11913,2022-03-20 14:52:45.221,OnTrack,-353,1877,-158,pos,0 days 00:51:45.204000,0 days 00:51:45.204000
11914,2022-03-20 14:52:45.621,OnTrack,-353,1877,-158,pos,0 days 00:51:45.604000,0 days 00:51:45.604000
11915,2022-03-20 14:52:45.781,OnTrack,-353,1877,-158,pos,0 days 00:51:45.764000,0 days 00:51:45.764000
11916,2022-03-20 14:52:46.081,OnTrack,-353,1877,-158,pos,0 days 00:51:46.064000,0 days 00:51:46.064000
