,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
303,0 days 01:23:56.930000,16,0 days 00:01:16.416000,17,1,,,0 days 00:00:26.298000,0 days 00:00:26.768000,0 days 00:00:23.350000,0 days 01:23:06.812000,0 days 01:23:33.580000,0 days 01:23:56.930000,276.0,267.0,287.0,292.0,SOFT,20.0,False,0 days 01:22:40.514000,Ferrari,LEC,1,True,2021-09-05 13:23:40.523
304,0 days 01:25:13.261000,16,0 days 00:01:16.331000,18,1,,,0 days 00:00:26.255000,0 days 00:00:26.857000,0 days 00:00:23.219000,0 days 01:24:23.185000,0 days 01:24:50.042000,0 days 01:25:13.261000,277.0,267.0,288.0,,SOFT,21.0,False,0 days 01:23:56.930000,Ferrari,LEC,1,True,2021-09-05 13:24:56.939
305,0 days 01:26:29.604000,16,0 days 00:01:16.343000,19,1,,,0 days 00:00:26.297000,0 days 00:00:26.811000,0 days 00:00:23.235000,0 days 01:25:39.558000,0 days 01:26:06.369000,0 days 01:26:29.604000,276.0,267.0,287.0,293.0,SOFT,22.0,False,0 days 01:25:13.261000,Ferrari,LEC,1,True,2021-09-05 13:26:13.270
306,0 days 01:27:45.842000,16,0 days 00:01:16.238000,20,1,,,0 days 00:00:26.294000,0 days 00:00:26.754000,0 days 00:00:23.190000,0 days 01:26:55.898000,0 days 01:27:22.652000,0 days 01:27:45.842000,277.0,266.0,288.0,291.0,SOFT,23.0,False,0 days 01:26:29.604000,Ferrari,LEC,1,True,2021-09-05 13:27:29.613
307,0 days 01:29:02.049000,16,0 days 00:01:16.207000,21,1,,,0 days 00:00:26.204000,0 days 00:00:26.854000,0 days 00:00:23.149000,0 days 01:28:12.046000,0 days 01:28:38.900000,0 days 01:29:02.049000,,267.0,289.0,293.0,SOFT,24.0,False,0 days 01:27:45.842000,Ferrari,LEC,1,True,2021-09-05 13:28:45.851
308,0 days 01:30:18.371000,16,0 days 00:01:16.322000,22,1,,,0 days 00:00:26.286000,0 days 00:00:26.837000,0 days 00:00:23.199000,0 days 01:29:28.335000,0 days 01:29:55.172000,0 days 01:30:18.371000,,266.0,288.0,294.0,SOFT,25.0,False,0 days 01:29:02.049000,Ferrari,LEC,1,True,2021-09-05 13:30:02.058
309,0 days 01:31:34.417000,16,0 days 00:01:16.046000,23,1,,,0 days 00:00:26.150000,0 days 00:00:26.833000,0 days 00:00:23.063000,0 days 01:30:44.521000,0 days 01:31:11.354000,0 days 01:31:34.417000,278.0,267.0,291.0,296.0,SOFT,26.0,False,0 days 01:30:18.371000,Ferrari,LEC,1,True,2021-09-05 13:31:18.380
310,0 days 01:32:51.229000,16,0 days 00:01:16.812000,24,1,,,0 days 00:00:26.355000,0 days 00:00:27.088000,0 days 00:00:23.369000,0 days 01:32:00.772000,0 days 01:32:27.860000,0 days 01:32:51.229000,,278.0,284.0,288.0,SOFT,27.0,False,0 days 01:31:34.417000,Ferrari,LEC,1,True,2021-09-05 13:32:34.426
311,0 days 01:34:07.160000,16,0 days 00:01:15.931000,25,1,,,0 days 00:00:26.135000,0 days 00:00:26.655000,0 days 00:00:23.141000,0 days 01:33:17.364000,0 days 01:33:44.019000,0 days 01:34:07.160000,274.0,267.0,284.0,289.0,SOFT,28.0,False,0 days 01:32:51.229000,Ferrari,LEC,1,True,2021-09-05 13:33:51.238
312,0 days 01:35:23.409000,16,0 days 00:01:16.249000,26,1,,,0 days 00:00:26.267000,0 days 00:00:26.801000,0 days 00:00:23.181000,0 days 01:34:33.427000,0 days 01:35:00.228000,0 days 01:35:23.409000,,265.0,283.0,290.0,SOFT,29.0,False,0 days 01:34:07.160000,Ferrari,LEC,1,True,2021-09-05 13:35:07.169
313,0 days 01:36:39.653000,16,0 days 00:01:16.244000,27,1,,,0 days 00:00:26.339000,0 days 00:00:26.705000,0 days 00:00:23.200000,0 days 01:35:49.748000,0 days 01:36:16.453000,0 days 01:36:39.653000,273.0,267.0,283.0,,SOFT,30.0,False,0 days 01:35:23.409000,Ferrari,LEC,1,True,2021-09-05 13:36:23.418
314,0 days 01:37:55.974000,16,0 days 00:01:16.321000,28,1,,,0 days 00:00:26.270000,0 days 00:00:26.813000,0 days 00:00:23.238000,0 days 01:37:05.923000,0 days 01:37:32.736000,0 days 01:37:55.974000,275.0,266.0,285.0,288.0,SOFT,31.0,False,0 days 01:36:39.653000,Ferrari,LEC,1,True,2021-09-05 13:37:39.662
315,0 days 01:39:12.370000,16,0 days 00:01:16.396000,29,1,,,0 days 00:00:26.325000,0 days 00:00:26.773000,0 days 00:00:23.298000,0 days 01:38:22.299000,0 days 01:38:49.072000,0 days 01:39:12.370000,276.0,266.0,283.0,,SOFT,32.0,False,0 days 01:37:55.974000,Ferrari,LEC,1,True,2021-09-05 13:38:55.983
316,0 days 01:40:29.073000,16,0 days 00:01:16.703000,30,1,,,0 days 00:00:26.441000,0 days 00:00:26.877000,0 days 00:00:23.385000,0 days 01:39:38.811000,0 days 01:40:05.688000,0 days 01:40:29.073000,274.0,267.0,283.0,289.0,SOFT,33.0,False,0 days 01:39:12.370000,Ferrari,LEC,1,True,2021-09-05 13:40:12.379
317,0 days 01:41:45.739000,16,0 days 00:01:16.666000,31,1,,,0 days 00:00:26.302000,0 days 00:00:26.987000,0 days 00:00:23.377000,0 days 01:40:55.375000,0 days 01:41:22.362000,0 days 01:41:45.739000,275.0,267.0,286.0,291.0,SOFT,34.0,False,0 days 01:40:29.073000,Ferrari,LEC,1,True,2021-09-05 13:41:29.082
318,0 days 01:43:03.157000,16,0 days 00:01:17.418000,32,1,,,0 days 00:00:26.634000,0 days 00:00:27.284000,0 days 00:00:23.500000,0 days 01:42:12.373000,0 days 01:42:39.657000,0 days 01:43:03.157000,279.0,268.0,287.0,293.0,SOFT,35.0,False,0 days 01:41:45.739000,Ferrari,LEC,1,True,2021-09-05 13:42:45.748
319,0 days 01:44:20.902000,16,0 days 00:01:17.745000,33,1,,,0 days 00:00:26.599000,0 days 00:00:27.207000,0 days 00:00:23.939000,0 days 01:43:29.756000,0 days 01:43:56.963000,0 days 01:44:20.902000,275.0,270.0,287.0,,SOFT,36.0,False,0 days 01:43:03.157000,Ferrari,LEC,1,True,2021-09-05 13:44:03.166
320,0 days 01:45:41.753000,16,0 days 00:01:20.851000,34,1,,0 days 01:45:40.087000,0 days 00:00:26.703000,0 days 00:00:27.396000,0 days 00:00:26.752000,0 days 01:44:47.605000,0 days 01:45:15.001000,0 days 01:45:41.753000,,268.0,,,SOFT,37.0,False,0 days 01:44:20.902000,Ferrari,LEC,1,False,2021-09-05 13:45:20.911
321,0 days 01:47:16.533000,16,0 days 00:01:34.780000,35,2,0 days 01:45:59.670000,,0 days 00:00:45.219000,0 days 00:00:26.397000,0 days 00:00:23.164000,0 days 01:46:26.972000,0 days 01:46:53.369000,0 days 01:47:16.533000,276.0,268.0,287.0,291.0,HARD,1.0,True,0 days 01:45:41.753000,Ferrari,LEC,1,False,2021-09-05 13:46:41.762
322,0 days 01:48:31.996000,16,0 days 00:01:15.463000,36,2,,,0 days 00:00:26.250000,0 days 00:00:26.194000,0 days 00:00:23.019000,0 days 01:47:42.783000,0 days 01:48:08.977000,0 days 01:48:31.996000,275.0,269.0,288.0,292.0,HARD,2.0,True,0 days 01:47:16.533000,Ferrari,LEC,2,True,2021-09-05 13:48:16.542
323,0 days 01:49:47.199000,16,0 days 00:01:15.203000,37,2,,,0 days 00:00:26.131000,0 days 00:00:26.166000,0 days 00:00:22.906000,0 days 01:48:58.127000,0 days 01:49:24.293000,0 days 01:49:47.199000,,270.0,288.0,,HARD,3.0,True,0 days 01:48:31.996000,Ferrari,LEC,1,True,2021-09-05 13:49:32.005
324,0 days 01:51:02.541000,16,0 days 00:01:15.342000,38,2,,,0 days 00:00:26.116000,0 days 00:00:26.263000,0 days 00:00:22.963000,0 days 01:50:13.315000,0 days 01:50:39.578000,0 days 01:51:02.541000,278.0,268.0,283.0,287.0,HARD,4.0,True,0 days 01:49:47.199000,Ferrari,LEC,1,True,2021-09-05 13:50:47.208
325,0 days 01:52:17.658000,16,0 days 00:01:15.117000,39,2,,,0 days 00:00:26.099000,0 days 00:00:25.998000,0 days 00:00:23.020000,0 days 01:51:28.640000,0 days 01:51:54.638000,0 days 01:52:17.658000,273.0,268.0,284.0,289.0,HARD,5.0,True,0 days 01:51:02.541000,Ferrari,LEC,1,True,2021-09-05 13:52:02.550
326,0 days 01:53:32.983000,16,0 days 00:01:15.325000,40,2,,,0 days 00:00:26.029000,0 days 00:00:26.034000,0 days 00:00:23.262000,0 days 01:52:43.687000,0 days 01:53:09.721000,0 days 01:53:32.983000,274.0,269.0,283.0,,HARD,6.0,True,0 days 01:52:17.658000,Ferrari,LEC,1,True,2021-09-05 13:53:17.667
327,0 days 01:54:48.149000,16,0 days 00:01:15.166000,41,2,,,0 days 00:00:26.180000,0 days 00:00:25.997000,0 days 00:00:22.989000,0 days 01:53:59.163000,0 days 01:54:25.160000,0 days 01:54:48.149000,,269.0,285.0,288.0,HARD,7.0,True,0 days 01:53:32.983000,Ferrari,LEC,1,True,2021-09-05 13:54:32.992
328,0 days 01:56:03.615000,16,0 days 00:01:15.466000,42,2,,,0 days 00:00:26.104000,0 days 00:00:26.236000,0 days 00:00:23.126000,0 days 01:55:14.253000,0 days 01:55:40.489000,0 days 01:56:03.615000,275.0,270.0,283.0,284.0,HARD,8.0,True,0 days 01:54:48.149000,Ferrari,LEC,1,True,2021-09-05 13:55:48.158
329,0 days 01:57:18.951000,16,0 days 00:01:15.336000,43,2,,,0 days 00:00:26.043000,0 days 00:00:26.132000,0 days 00:00:23.161000,0 days 01:56:29.658000,0 days 01:56:55.790000,0 days 01:57:18.951000,274.0,268.0,285.0,287.0,HARD,9.0,True,0 days 01:56:03.615000,Ferrari,LEC,1,True,2021-09-05 13:57:03.624
330,0 days 01:58:34.046000,16,0 days 00:01:15.095000,44,2,,,0 days 00:00:26.045000,0 days 00:00:26.059000,0 days 00:00:22.991000,0 days 01:57:44.996000,0 days 01:58:11.055000,0 days 01:58:34.046000,275.0,268.0,284.0,289.0,HARD,10.0,True,0 days 01:57:18.951000,Ferrari,LEC,1,True,2021-09-05 13:58:18.960
331,0 days 01:59:49.299000,16,0 days 00:01:15.253000,45,2,,,0 days 00:00:25.967000,0 days 00:00:26.166000,0 days 00:00:23.120000,0 days 01:59:00.013000,0 days 01:59:26.179000,0 days 01:59:49.299000,,271.0,285.0,,HARD,11.0,True,0 days 01:58:34.046000,Ferrari,LEC,1,True,2021-09-05 13:59:34.055
332,0 days 02:01:04.534000,16,0 days 00:01:15.235000,46,2,,,0 days 00:00:26.084000,0 days 00:00:26.088000,0 days 00:00:23.063000,0 days 02:00:15.383000,0 days 02:00:41.471000,0 days 02:01:04.534000,277.0,270.0,284.0,,HARD,12.0,True,0 days 01:59:49.299000,Ferrari,LEC,1,True,2021-09-05 14:00:49.308
333,0 days 02:02:19.928000,16,0 days 00:01:15.394000,47,2,,,0 days 00:00:26.038000,0 days 00:00:26.208000,0 days 00:00:23.148000,0 days 02:01:30.572000,0 days 02:01:56.780000,0 days 02:02:19.928000,,270.0,285.0,,HARD,13.0,True,0 days 02:01:04.534000,Ferrari,LEC,1,True,2021-09-05 14:02:04.543
334,0 days 02:03:34.932000,16,0 days 00:01:15.004000,48,2,,,0 days 00:00:25.941000,0 days 00:00:26.046000,0 days 00:00:23.017000,0 days 02:02:45.869000,0 days 02:03:11.915000,0 days 02:03:34.932000,278.0,271.0,288.0,290.0,HARD,14.0,True,0 days 02:02:19.928000,Ferrari,LEC,1,True,2021-09-05 14:03:19.937
335,0 days 02:04:50.250000,16,0 days 00:01:15.318000,49,2,,,0 days 00:00:25.924000,0 days 00:00:25.998000,0 days 00:00:23.396000,0 days 02:04:00.856000,0 days 02:04:26.854000,0 days 02:04:50.250000,,272.0,285.0,288.0,HARD,15.0,True,0 days 02:03:34.932000,Ferrari,LEC,1,True,2021-09-05 14:04:34.941
336,0 days 02:06:05.343000,16,0 days 00:01:15.093000,50,2,,,0 days 00:00:26.026000,0 days 00:00:26.128000,0 days 00:00:22.939000,0 days 02:05:16.276000,0 days 02:05:42.404000,0 days 02:06:05.343000,276.0,270.0,286.0,290.0,HARD,16.0,True,0 days 02:04:50.250000,Ferrari,LEC,1,True,2021-09-05 14:05:50.259
337,0 days 02:07:20.372000,16,0 days 00:01:15.029000,51,2,,,0 days 00:00:25.919000,0 days 00:00:26.117000,0 days 00:00:22.993000,0 days 02:06:31.262000,0 days 02:06:57.379000,0 days 02:07:20.372000,,269.0,287.0,291.0,HARD,17.0,True,0 days 02:06:05.343000,Ferrari,LEC,1,True,2021-09-05 14:07:05.352
338,0 days 02:08:35.193000,16,0 days 00:01:14.821000,52,2,,,0 days 00:00:25.833000,0 days 00:00:26.060000,0 days 00:00:22.928000,0 days 02:07:46.205000,0 days 02:08:12.265000,0 days 02:08:35.193000,278.0,273.0,291.0,294.0,HARD,18.0,True,0 days 02:07:20.372000,Ferrari,LEC,1,True,2021-09-05 14:08:20.381
339,0 days 02:09:51.016000,16,0 days 00:01:15.823000,53,2,,,0 days 00:00:25.991000,0 days 00:00:26.699000,0 days 00:00:23.133000,0 days 02:09:01.184000,0 days 02:09:27.883000,0 days 02:09:51.016000,281.0,273.0,287.0,293.0,HARD,19.0,True,0 days 02:08:35.193000,Ferrari,LEC,1,True,2021-09-05 14:09:35.202
340,0 days 02:11:06.286000,16,0 days 00:01:15.270000,54,2,,,0 days 00:00:26.230000,0 days 00:00:26.058000,0 days 00:00:22.982000,0 days 02:10:17.246000,0 days 02:10:43.304000,0 days 02:11:06.286000,275.0,270.0,285.0,289.0,HARD,20.0,True,0 days 02:09:51.016000,Ferrari,LEC,1,True,2021-09-05 14:10:51.025
341,0 days 02:12:21.123000,16,0 days 00:01:14.837000,55,2,,,0 days 00:00:25.944000,0 days 00:00:25.965000,0 days 00:00:22.928000,0 days 02:11:32.230000,0 days 02:11:58.195000,0 days 02:12:21.123000,277.0,269.0,285.0,,HARD,21.0,True,0 days 02:11:06.286000,Ferrari,LEC,1,True,2021-09-05 14:12:06.295
342,0 days 02:13:35.983000,16,0 days 00:01:14.860000,56,2,,,0 days 00:00:25.890000,0 days 00:00:26.057000,0 days 00:00:22.913000,0 days 02:12:47.013000,0 days 02:13:13.070000,0 days 02:13:35.983000,278.0,271.0,286.0,291.0,HARD,22.0,True,0 days 02:12:21.123000,Ferrari,LEC,1,True,2021-09-05 14:13:21.132
343,0 days 02:14:50.835000,16,0 days 00:01:14.852000,57,2,,,0 days 00:00:25.821000,0 days 00:00:26.058000,0 days 00:00:22.973000,0 days 02:14:01.804000,0 days 02:14:27.862000,0 days 02:14:50.835000,276.0,270.0,286.0,290.0,HARD,23.0,True,0 days 02:13:35.983000,Ferrari,LEC,1,True,2021-09-05 14:14:35.992
344,0 days 02:16:05.615000,16,0 days 00:01:14.780000,58,2,,,0 days 00:00:25.909000,0 days 00:00:26.037000,0 days 00:00:22.834000,0 days 02:15:16.744000,0 days 02:15:42.781000,0 days 02:16:05.615000,277.0,269.0,286.0,292.0,HARD,24.0,True,0 days 02:14:50.835000,Ferrari,LEC,1,True,2021-09-05 14:15:50.844
345,0 days 02:17:20.515000,16,0 days 00:01:14.900000,59,2,,,0 days 00:00:25.840000,0 days 00:00:26.095000,0 days 00:00:22.965000,0 days 02:16:31.455000,0 days 02:16:57.550000,0 days 02:17:20.515000,276.0,270.0,287.0,,HARD,25.0,True,0 days 02:16:05.615000,Ferrari,LEC,1,True,2021-09-05 14:17:05.624
346,0 days 02:18:35.302000,16,0 days 00:01:14.787000,60,2,,,0 days 00:00:25.876000,0 days 00:00:26.024000,0 days 00:00:22.887000,0 days 02:17:46.391000,0 days 02:18:12.415000,0 days 02:18:35.302000,,270.0,287.0,,HARD,26.0,True,0 days 02:17:20.515000,Ferrari,LEC,1,True,2021-09-05 14:18:20.524
347,0 days 02:19:50.206000,16,0 days 00:01:14.904000,61,2,,,0 days 00:00:25.842000,0 days 00:00:26.117000,0 days 00:00:22.945000,0 days 02:19:01.144000,0 days 02:19:27.261000,0 days 02:19:50.206000,278.0,270.0,287.0,,HARD,27.0,True,0 days 02:18:35.302000,Ferrari,LEC,1,True,2021-09-05 14:19:35.311
348,0 days 02:21:05.043000,16,0 days 00:01:14.837000,62,2,,,0 days 00:00:25.905000,0 days 00:00:26.092000,0 days 00:00:22.840000,0 days 02:20:16.111000,0 days 02:20:42.203000,0 days 02:21:05.043000,,272.0,289.0,291.0,HARD,28.0,True,0 days 02:19:50.206000,Ferrari,LEC,1,True,2021-09-05 14:20:50.215
349,0 days 02:22:21.875000,16,0 days 00:01:16.832000,63,2,,,0 days 00:00:25.963000,0 days 00:00:26.265000,0 days 00:00:24.604000,0 days 02:21:31.006000,0 days 02:21:57.271000,0 days 02:22:21.875000,276.0,270.0,308.0,309.0,HARD,29.0,True,0 days 02:21:05.043000,Ferrari,LEC,1,True,2021-09-05 14:22:05.052
350,0 days 02:23:39.629000,16,0 days 00:01:17.754000,64,2,,,0 days 00:00:26.442000,0 days 00:00:26.500000,0 days 00:00:24.812000,0 days 02:22:48.317000,0 days 02:23:14.817000,0 days 02:23:39.629000,281.0,271.0,307.0,305.0,HARD,30.0,True,0 days 02:22:21.875000,Ferrari,LEC,1,True,2021-09-05 14:23:21.884
351,0 days 02:24:55.687000,16,0 days 00:01:16.058000,65,2,,,0 days 00:00:26.283000,0 days 00:00:26.528000,0 days 00:00:23.247000,0 days 02:24:05.912000,0 days 02:24:32.440000,0 days 02:24:55.687000,,273.0,289.0,293.0,HARD,31.0,True,0 days 02:23:39.629000,Ferrari,LEC,1,True,2021-09-05 14:24:39.638
352,0 days 02:26:11.539000,16,0 days 00:01:15.852000,66,2,,,0 days 00:00:26.296000,0 days 00:00:26.473000,0 days 00:00:23.083000,0 days 02:25:21.983000,0 days 02:25:48.456000,0 days 02:26:11.539000,279.0,270.0,286.0,289.0,HARD,32.0,True,0 days 02:24:55.687000,Ferrari,LEC,1,True,2021-09-05 14:25:55.696
353,0 days 02:27:26.971000,16,0 days 00:01:15.432000,67,2,,,0 days 00:00:26.054000,0 days 00:00:26.290000,0 days 00:00:23.088000,0 days 02:26:37.593000,0 days 02:27:03.883000,0 days 02:27:26.971000,278.0,270.0,286.0,291.0,HARD,33.0,True,0 days 02:26:11.539000,Ferrari,LEC,1,True,2021-09-05 14:27:11.548
354,0 days 02:28:42.429000,16,0 days 00:01:15.458000,68,2,,,0 days 00:00:26.139000,0 days 00:00:26.298000,0 days 00:00:23.021000,0 days 02:27:53.110000,0 days 02:28:19.408000,0 days 02:28:42.429000,279.0,270.0,287.0,292.0,HARD,34.0,True,0 days 02:27:26.971000,Ferrari,LEC,1,True,2021-09-05 14:28:26.980
355,0 days 02:29:57.698000,16,0 days 00:01:15.269000,69,2,,,0 days 00:00:26.003000,0 days 00:00:26.290000,0 days 00:00:22.976000,0 days 02:29:08.432000,0 days 02:29:34.722000,0 days 02:29:57.698000,,276.0,310.0,316.0,HARD,35.0,True,0 days 02:28:42.429000,Ferrari,LEC,1,True,2021-09-05 14:29:42.438
356,0 days 02:31:14.287000,16,0 days 00:01:16.589000,70,2,,,0 days 00:00:26.235000,0 days 00:00:27.164000,0 days 00:00:23.190000,0 days 02:30:23.933000,0 days 02:30:51.097000,0 days 02:31:14.287000,250.0,270.0,286.0,290.0,HARD,36.0,True,0 days 02:29:57.698000,Ferrari,LEC,1,True,2021-09-05 14:30:57.707
357,0 days 02:32:30.831000,16,0 days 00:01:16.544000,71,2,,,0 days 00:00:26.270000,0 days 00:00:26.700000,0 days 00:00:23.574000,0 days 02:31:40.557000,0 days 02:32:07.257000,0 days 02:32:30.831000,278.0,271.0,281.0,,HARD,37.0,True,0 days 02:31:14.287000,Ferrari,LEC,1,True,2021-09-05 14:32:14.296
